Name,Barcode,Reference,Salesprice,Stock
Quick grip sheet FBR 93x190mm G120 8 holes B&D (per 25),5412605463800,112955B,15.7,13
Quick grip sheet FBR 93x190mm G120 8 holes Bosch (SB per 5),5412605463701,112935B,5.25,293
Quick grip sheet FBR 93x190mm G180 8 holes Bosch (per 25),5412605463596,112924B,15.7,2
Quick grip sheet FBR 93x190mm G180 8 holes B&D (per 25),5412605463817,112956B,15.7,21
Quick grip sheet FBR 93x190mm G240 8 holes Bosch (per 25),5412605463602,112925B,15.7,35
Quick grip sheet FBR 93x190mm G040 8 holes Bosch (per 25),5412605463558,112920B,16.6,5
Quick grip sheet FBR 93x190mm G040 8 holes B&D (per 25),5412605463770,112952B,16.6,16
Quick grip sheet FBR 93x190mm G040 8 holes Bosch (SB per 5),5412605463671,112932B,5.5,314
Quick grip sheet FBR 93x190mm G060 8 holes Bosch (per 25),5412605463565,112921B,16.1,1
Quick grip sheet FBR 93x190mm G060 8 holes B&D (per 25),5412605463787,112953B,16.1,12
Quick grip sheet FBR 93x190mm G060 8 holes Bosch (SB per 5),5412605463688,112933B,5.35,252
Quick grip sheet FBR 93x190mm G080 8 holes Bosch (per 25),5412605463572,112922B,15.95,4
Quick grip sheet FBR 93x190mm G080 8 holes B&D (per 25),5412605463794,112954B,15.95,12
Quick grip sheet FBR 93x190mm G080 8 holes Bosch (SB per 5),5412605463695,112934B,5.3,110
Quick grip sheet FBR 93x190mm ASS 8 holes Bosch (SB per 5),5412605463718,112936B,5.25,10
Quick grip sheet FBR 93x190mm G120 8 holes B&D (SB per 5),5412605463862,112961B,5.25,110
Quick grip sheet FBR 93x190mm G040 8 holes B&D (SB per 5),5412605463831,112958B,5.5,130
Quick grip sheet FBR 93x190mm G060 8 holes B&D (SB per 5),5412605463848,112959B,5.35,120
Quick grip sheet FBR 93x190mm G080 8 holes B&D (SB per 5),5412605463855,112960B,5.3,60
Quick grip sheet FBR 93x190mm ASS 8 holes B&D (SB per 5) (2x,5412605463879,112962B,5.25,0
Quick grip delta FBR 94x94x94mm G040 6 holes Bosch (per 25),5412605461240,110532A,9.9,239
Quick grip delta FBR 94x94x94mm G040 6 holes Bosch (SB per 5,5412605461172,110539A,3.25,607
Quick grip delta FBR 94x94x94mm G060 6 holes Bosch (per 25),5412605461325,110533A,9,229
Quick grip delta FBR 94x94x94mm G060 6 holes Bosch (SB per 5,5412605461189,110540A,3.25,2166
Quick grip delta FBR 94x94x94mm G080 6 holes Bosch (per 25),5412605461257,110534A,9,665
Quick grip delta FBR 94x94x94mm G080 6 holes Bosch (SB per 5,5412605461196,110541A,3.25,603
Quick grip delta FBR 94x94x94mm G100 6 holes Bosch (per 25),5412605461264,110535A,9,407
Quick grip delta FBR 94x94x94mm G100 6 holes Bosch (SB per 5,5412605461202,110542A,3.25,728
Quick grip delta FBR 94x94x94mm G120 6 holes Bosch (per 25),5412605461271,110536A,9,709
Quick grip delta FBR 94x94x94mm G120 6 holes Bosch (SB per 5,5412605461219,110543A,3.25,1949
Quick grip delta FBR 94x94x94mm G150 6 holes Bosch (per 25),5412605461288,111145B,9,20
Quick grip delta FBR 94x94x94mm G180 6 holes Bosch (per 25),5412605461295,110537A,9,122
Quick grip delta FBR 94x94x94mm G180 6 holes Bosch (SB per 5,5412605461226,110544A,3.25,1323
Quick grip delta FBR 94x94x94mm G240 6 holes Bosch (per 25),5412605461318,110538A,9,305
Quick grip delta FBR 94x94x94mm G240 6 holes Bosch (SB per 5,5412605461233,110545A,3.25,663
Quick grip delta stearate SCR 94x94x94mm G120 6 holes Bosch,5412605469710,111146B,0.3,175
Quick grip delta stearate SCR 94x94x94mm G150 6 holes Bosch,5412605469727,112889B,0.3,175
Quick grip delta stearate SCR 94x94x94mm G180 6 holes Bosch,5412605469734,112890B,0.3,200
Quick grip delta stearate SCR 94x94x94mm G080 6 holes Bosch,,111147B,0.3,0
Quick grip delta FBR 94x94x94mm ASS 6 holes Bosch (4xG40 3xG,5412605465606,113020B,3.819,0
Quick grip delta FBR 93x93x93mm G040 6 holes Festo,5412605460625,110507A,0.4,1975
Quick grip delta FBR 93x93x93mm G060 6 holes Festo,5412605460632,110508A,0.4,2775
Quick grip delta FBR 93x93x93mm G080 6 holes Festo,5412605460229,110509A,0.35,1975
Quick grip delta FBR 93x93x93mm G100 6 holes Festo,5412605460656,110510A,0.35,2925
Quick grip delta FBR 93x93x93mm G120 6 holes Festo,5412605460243,110511A,0.35,2125
Endless belt cloth AO 10x450mm G040,,112713B,1.591,0
Endless belt cloth AO 6x533mm G040,5412605471379,112880B,0.618,240
Endless belt cloth AO 6x533mm G060,5412605471386,112881B,0.56,180
Endless belt cloth AO 6x533mm G080,5412605471393,112882B,0.534,200
Endless belt cloth AO 6x533mm G100,5412605471409,112883B,0.504,200
Endless belt cloth AO 6x533mm G120,5412605471416,112884B,0.504,200
Endless belt cloth AO 9x533mm G060,5412605478037,112885B,0.7,90
Endless belt cloth AO 9x533mm G080,5412605478044,112886B,0.7,0
Endless belt cloth AO 9x533mm G100,5412605478051,112887B,0.7,0
Endless belt cloth AO 9x533mm G120,5412605478068,112981B,0.7,30
Endless belt cloth AO 9x533mm G040,5412605478020,112846B,0.8,60
Endless belt cloth AO 10x320mm G040,5412605470976,111164B,0,0
Endless belt cloth AO 10x330mm G100,5412605471003,111165B,1.318,0
Endless belt cloth AO 10x330mm G120,5412605471010,111166B,1.318,0
Endless belt cloth AO 10x330mm G040,5412605471027,111167B,1.318,0
Endless belt cloth AO 10x330mm G060,5412605471508,111168B,1.3,30
Endless belt cloth AO 10x330mm G080,5412605471034,111169B,1.318,0
Endless belt cloth AO 13x340mm G060,,112815B,0,0
Endless belt cloth AO 20x520mm G060,5412605471102,111170B,1.45,0
Endless belt cloth AO 20x520mm G080,5412605471119,111171B,1.452,0
Endless belt cloth AO 20x532mm G120,5412605471126,111172B,1.957,0
Endless belt cloth AO 20x532mm G060,5412605471133,111173B,2.127,0
Endless belt cloth AO 20x532mm G080,5412605471140,111174B,1.967,0
Endless belt cloth AO 20x900mm G040,,112978B,0.709,0
Endless belt cloth AO 25x766mm G080,,113036B,0,0
Endless belt cloth AO 30x1700mm G060,,112974B,1.865,0
Endless belt cloth AO 30x450mm G100,5412605471188,111175B,1.706,0
Endless belt cloth AO 30x450mm G060,5412605471225,111176B,1.771,0
Endless belt cloth AO 30x533mm G100,5412605471256,111178B,1.665,0
Endless belt cloth AO 30x533mm G120,5412605471263,111179B,1.665,10
Endless belt cloth AO 30x533mm G150,,113041B,0.599,0
Endless belt cloth AO 30x533mm G040,5412605471300,111181B,1.85,0
Endless belt cloth AO 30x533mm G060,5412605471317,111182B,1.8,0
Endless belt cloth AO 30x533mm G080,5412605471324,111183B,1.685,0
Endless belt cloth AO 30x540mm G120,5412605471331,111184B,1.874,0
Endless belt cloth AO 30x540mm G060,5412605471355,111185B,1.318,40
Endless belt cloth AO 30x800mm G050,,112727B,1.079,0
Endless belt cloth AO 30x800mm G080,,112728B,0.98,0
Endless belt cloth AO 30x800mm G150,,112729B,0.933,0
Endless belt cloth AO 40x1500mm G024,5412605471362,111187B,0,0
Endless belt cloth AO 40x1600mm G040,,112850B,7.195,0
Endless belt cloth AO 40x305mm G100,5412605478095,110009A,1.25,40
Endless belt cloth AO 40x305mm G120 ( SB per 3 ),5412605470563,110106A,4.65,39
Endless belt cloth AO 40x305mm G120,5412605478118,110010A,1.25,0
Endless belt cloth AO 40x305mm G040 ( SB per 3 ),5412605470549,110104A,5.65,59
Endless belt cloth AO 40x305mm G040,5412605478057,110006A,1.55,0
Endless belt cloth AO 40x305mm G060,5412605478064,110007A,1.5,70
Endless belt cloth AO 40x305mm G080 ( SB per 3 ),5412605470556,110105A,4.7,12
Endless belt cloth AO 40x305mm G080,5412605478071,110008A,1.3,60
Endless belt cloth AO 40x610mm G100,5412605471478,111189B,1.826,0
Endless belt cloth AO 40x610mm G060,5412605471485,111190B,1.03,0
Endless belt cloth AO 40x610mm G080,5412605471492,111191B,1.857,0
Endless belt cloth AO 40x618mm G080,,112739B,3.146,0
Endless belt cloth AO 40x618mm G100,,112740B,3.053,0
Endless belt cloth AO 40x618mm G120,,112741B,3.053,0
Endless belt cloth AO 45x700mm G080,,112822B,3.272,0
Endless belt cloth AO 45x700mm G100,,112821B,3.188,0
Endless belt cloth AO 45x715mm G050,,112647B,4.19,0
Endless belt cloth AO 45x715mm G060,,112687B,0,0
Endless belt cloth AO 45x715mm G080,,112842B,0,0
Endless belt cloth AO 45x715mm G120,,112648B,3.952,0
Endless belt cloth AO 45x715mm G240,,112649B,3.952,0
Endless belt cloth AO 50x355mm G060,5412605471706,111192B,1.687,0
Endless belt cloth AO 50x577mm G060,5412605471713,111193B,0,0
Endless belt cloth AO 50x650mm G060,5412605471737,111194B,2.704,0
Endless belt cloth AO 50x654mm G100,5412605471744,111195B,8.816,0
Endless belt cloth AO 50x660mm G220,5412605471751,111196B,2.163,0
Endless belt cloth AO 50x686mm G040,5412605478750,112816B,0,0
Endless belt cloth AO 50x686mm G080,5412605478767,112817B,0,0
Endless belt cloth AO 50x686mm G120,5412605478774,112818B,0,0
Endless belt cloth AO 50x690mm G100,,113063B,1.205,0
Endless belt cloth AO 50x690mm G080,,113022B,1.297,0
Endless belt cloth AO 50x694mm G100,5412605471768,111197B,3.232,0
Endless belt cloth AO 50x694mm G120,,112678B,0,0
Endless belt cloth AO 50x694mm G040,5412605471775,111198B,2.398,0
Endless belt cloth AO 50x694mm G060,5412605471782,111199B,1.357,0
Endless belt cloth AO 50x800mm G100,5412605471812,111201B,2.45,0
Endless belt cloth AO 50x800mm G120,5412605478705,111202B,2.45,0
Endless belt cloth AO 50x800mm G080,5412605471836,111203B,2.65,0
Endless belt cloth AO 50x900mm G050,5412605471867,111204B,2.67,0
Endless belt cloth AO 57x457mm G024,5412605471881,111205B,2.094,0
Endless belt cloth AO 57x457mm G040,5412605471898,111206B,2.027,0
Endless belt cloth AO 57x457mm G060,5412605471904,111207B,1.959,0
Endless belt cloth AO 60x400mm G100,5412605478170,110014A,1.5,80
Endless belt cloth AO 60x400mm G120,5412605470020,110015A,1.5,220
Endless belt cloth AO 60x400mm G040,5412605478125,110011A,1.75,350
Endless belt cloth AO 60x400mm G050,5412605470334,111208B,1.486,0
Endless belt cloth AO 60x400mm G060,5412605478132,110012A,1.65,90
Endless belt cloth AO 60x400mm G080,5412605478163,110013A,1.5,220
Endless belt cloth AO 65x406mm G100,5412605470044,110019A,1.35,20
Endless belt cloth AO 65x406mm G120 ( SB per 3 ),5412605470702,111209B,5.822,0
Endless belt cloth AO 65x406mm G120,5412605470051,110020A,1.35,2
Endless belt cloth AO 65x406mm G040 ( SB per 3 ),5412605470700,111210B,6.039,0
Endless belt cloth AO 65x406mm G040,5412605478187,110016A,1.55,10
Endless belt cloth AO 65x406mm G060,5412605478194,110017A,1.45,0
Endless belt cloth AO 65x406mm G080 ( SB per 3 ),5412605470701,111211B,5.822,4
Endless belt cloth AO 65x406mm G080,5412605470037,110018A,1.35,0
Endless belt cloth AO 65x410mm G100,5412605470068,110024A,1.5,0
Endless belt cloth AO 65x410mm G120,5412605478231,110025A,1.5,10
Endless belt cloth AO 65x410mm G150,5412605472017,111212B,1.6,9
Endless belt cloth AO 65x410mm G040,5412605478200,110021A,1.8,0
Endless belt cloth AO 65x410mm G050,5412605472031,111213B,1.582,0
Endless belt cloth AO 65x410mm G060,5412605478217,110022A,1.65,30
Endless belt cloth AO 65x410mm G080,5412605478224,110023A,1.55,0
Endless belt cloth AO 75x150mm G080,,112707B,2.288,0
Endless belt cloth AO 75x457mm G100,5412605478279,110029A,1.6,0
Endless belt cloth AO 75x457mm G120,5412605478286,110030A,1.6,10
Endless belt cloth AO 75x457mm G150,5412605472208,111215B,1.45,8
Endless belt cloth AO 75x457mm G024,5412605472222,111216B,2.434,0
Endless belt cloth AO 75x457mm G040,5412605478248,110026A,1.9,60
Endless belt cloth AO 75x457mm G050,5412605472239,111217B,1.8,0
Endless belt cloth AO 75x457mm G060,5412605478255,110027A,1.75,0
Endless belt cloth AO 75x457mm G080,5412605478262,110028A,1.65,80
Endless belt cloth AO 20x475mm G040,5412605472253,111218B,1.656,0
Endless belt cloth AO 75x480mm G100,5412605470105,110034A,1.65,110
Endless belt cloth AO 75x480mm G120,5412605470112,110035A,1.65,60
Endless belt cloth AO 75x480mm G040,5412605470075,110031A,1.95,70
Endless belt cloth AO 75x480mm G050,5412605472277,111219B,1.771,0
Endless belt cloth AO 75x480mm G060,5412605470082,110032A,1.8,30
Endless belt cloth AO 75x480mm G080,5412605470099,110033A,1.65,40
Endless belt cloth AO 75x500mm G060,5412605472291,111220B,2.806,0
Endless belt cloth AO 75x500mm G080,5412605472307,111221B,2.434,0
Endless belt cloth AO 75x510mm G100,5412605470136,110039A,1.65,20
Endless belt cloth AO 75x510mm G120,5412605478316,110040A,1.8,200
Endless belt cloth AO 75x510mm G150,5412605472314,111222B,1.7,20
Endless belt cloth AO 75x510mm G040,5412605478293,110036A,1.95,0
Endless belt cloth AO 75x510mm G050,5412605472338,111224B,1.826,20
Endless belt cloth AO 75x510mm G060,5412605470129,110037A,1.8,0
Endless belt cloth AO 75x510mm G080,5412605478309,110038A,1.7,0
Endless belt cloth AO 75x533mm G100,5412605478354,110044A,1.7,24
Endless belt cloth AO 75x533mm G120,5412605478361,110045A,1.7,130
Endless belt cloth AO 75x533mm G220,5412605472369,111227B,1.55,0
Endless belt cloth AO 75x533mm G240,5412605472376,111228B,1.7,0
Endless belt cloth AO 75x533mm G040,5412605478323,110041A,2,892
Endless belt cloth AO 75x533mm G050,5412605472383,111229B,1.75,0
Endless belt cloth AO 75x533mm G060,5412605478330,110042A,1.85,260
Endless belt cloth AO 75x533mm G080,5412605478347,110043A,1.75,1390
Endless belt cloth ZC 75x533mm G080,,112975B,1.99,0
Endless belt cloth AO 75x540mm G080,5412605472420,111232B,1.791,0
Endless belt cloth AO 75x575mm G100,5412605470181,110049A,1.74,0
Endless belt cloth AO 75x575mm G120,5412605470198,110050A,1.75,30
Endless belt cloth AO 75x575mm G150,5412605472437,111233B,1.826,70
Endless belt cloth AO 75x575mm G040,5412605470150,110046A,2.1,0
Endless belt cloth AO 75x575mm G060,5412605470167,110047A,1.95,0
Endless belt cloth AO 75x575mm G080,5412605470174,110048A,1.8,0
Endless belt cloth AO 75x610mm G240,5412605472451,111235B,1.9,30
Endless belt cloth AO 75x610mm G100,5412605478385,110054A,1.8,30
Endless belt cloth AO 75x610mm G120,5412605478392,110055A,1.8,330
Endless belt cloth AO 75x610mm G150,5412605472468,111236B,2.012,100
Endless belt cloth AO 75x610mm G220,5412605472475,111237B,1.891,0
Endless belt cloth AO 75x610mm G024,5412605472482,111238B,2.871,0
Endless belt cloth AO 75x610mm G320,5412605472499,111239B,1.891,0
Endless belt cloth AO 75x610mm G040,5412605470204,110051A,2.15,420
Endless belt cloth AO 75x610mm G050,5412605472505,111240B,2.05,0
Endless belt cloth AO 75x610mm G060 ( SB per 3 ),5412605472512,111241B,6.79,0
Endless belt cloth AO 75x610mm G060,5412605478378,110052A,2,187
Endless belt cloth AO 75x610mm G080 ( SB per 3 ),5412605470761,110126A,6.5,53
Endless belt cloth AO 75x610mm G080,5412605470211,110053A,1.8,160
Endless belt cloth AO 75x810mm G080,,112894B,0,0
Endless belt cloth AO 75x815mm G060,5412605130894,112669B,0,0
Endless belt cloth AO 75x820mm G100,5412605472529,111242B,3.513,0
Endless belt cloth AO 75x850mm G100,,112748B,0,20
Endless belt cloth AO 76x610mm G100,5412605472543,111243B,2.027,0
Endless belt cloth AO 76x610mm G120,5412605472550,111244B,2.027,0
Endless belt cloth AO 80x820mm G120,5412605472581,111247B,3.48,0
Endless belt cloth AO 80x825mm G040,,112730B,1.629,0
Endless belt cloth AO 80x825mm G060,,112731B,1.53,0
Endless belt cloth AO 80x825mm G080,,112732B,2.796,0
Endless belt cloth AO 80x825mm G100,,112733B,2.697,0
Endless belt cloth ZC 80x825mm G120,,113001B,21.329,0
Endless belt cloth AO 80x825mm G150,,112734B,2.697,0
Endless belt cloth AO 90x680mm G050,5412605472598,111248B,3.985,0
Endless belt cloth AO 90x697mm G080,5412605472611,111249B,3.583,0
Endless belt cloth AO 90x700mm G060,5412605472680,111250B,2.599,0
Endless belt cloth ZC 95x300mm G040,,112742B,3.708,0
Endless belt cloth ZC 95x300mm G060,,112743B,3.489,0
Endless belt cloth ZC 95x300mm G080,,112744B,3.407,0
Endless belt cloth ZC 9x533mm G120,,112749B,0,0
Endless belt cloth ZC 100x1000mm G036,5412605472710,111252B,6.755,0
Endless belt cloth ZC 100x1000mm G040,5412605472727,111253B,9.661,0
Endless belt cloth ZC 100x1000mm G050,5412605472734,111254B,6.418,0
Endless belt cloth ZC 100x1000mm G080,5412605472741,111255B,5.471,0
Endless belt cloth AO 100x1100mm G040,5412605472765,111256B,5.573,0
Endless belt cloth AO 100x1100mm G080,5412605472772,111257B,5.371,0
Endless belt cloth ZC 100x1200mm G040 poly,5412605472789,111258B,0,0
Endless belt cloth ZC 100x1200mm G060,5412605472857,111265B,7.536,0
Endless belt cloth ZC 100x1200mm G080,5412605472864,111266B,7.094,0
Endless belt cloth ZC 100X1450mm G080,5412605472871,111267B,7.603,0
Endless belt cloth ZC 100x1630mm G024,,112750B,18.015,0
Endless belt cloth ZC 100x2000mm G036,5412605472895,111269B,15.65,0
Endless belt cloth ZC 100x2000mm G080,5412605472925,111271B,10.1,217
Endless belt paper AO 100x2000mm G080,5412605472932,111272B,3.65,0
Endless belt cloth AO 100x3500mm G040,5412605472949,111273B,14.357,0
Endless belt cloth AO 100x3500mm G080,5412605472956,111274B,13.545,0
Endless belt cloth AO 100x450mm G080,5412605472963,111275B,4.392,0
Endless belt cloth AO 100x459mm G080,,112735B,1.914,0
Endless belt cloth AO 100x459mm G100,,112736B,1.813,0
Endless belt cloth AO 100x552mm G120 ( SB per 3 ),5412605470808,110130A,7.2,15
Endless belt cloth AO 100x552mm G040 ( SB per 3 ),5412605470785,110128A,8.05,32
Endless belt cloth AO 100x552mm G080 ( SB per 3 ),5412605470792,110129A,7.35,21
Endless belt cloth AO 100x552mm G100,5412605470228,110059A,2.05,50
Endless belt cloth AO 100x552mm G120,5412605478439,110060A,2.05,0
Endless belt cloth AO 102x552mm G024,5412605472970,111276B,3.344,0
Endless belt cloth AO 100x552mm G040,5412605478408,110056A,2.5,9
Endless belt cloth AO 100x552mm G060,5412605478415,110057A,2.25,0
Endless belt cloth AO 100x552mm G080,5412605478422,110058A,2.1,0
Endless belt cloth AO 100x560mm G100,5412605478477,110064A,2.35,240
Endless belt cloth AO 100x560mm G120 ( SB per 3 ),5412605470839,110133A,7.65,90
Endless belt cloth AO 100x560mm G120,5412605470235,110065A,2.35,210
Endless belt cloth AO 100x560mm G150,5412605473007,111279B,2.65,80
Endless belt cloth AO 100x560mm G220,5412605473014,111280B,2.5,0
Endless belt cloth AO 100x560mm G040 ( SB per 3 ),5412605470815,110131A,9,59
Endless belt cloth AO 100x560mm G040,5412605478446,110061A,2.8,190
Endless belt cloth AO 100x560mm G050,5412605475490,112980B,2.45,10
Endless belt cloth AO 100x560mm G060,5412605478453,110062A,2.55,140
Endless belt cloth AO 100x560mm G080 ( SB per 3 ),5412605470822,110132A,7.8,124
Endless belt cloth AO 100x560mm G080,5412605478460,110063A,2.4,250
Endless belt cloth AO 100x575mm G060,,112896B,0,0
Endless belt cloth AO 100x600mm G120 ( SB per 3 ),5412605470860,110136A,7.099,19
Endless belt cloth AO 100x600mm G040 ( SB per 3 ),5412605470846,110134A,8.25,22
Endless belt cloth AO 100x600mm G040,5412605473090,111282B,2.937,0
Endless belt cloth AO 100x600mm G080 ( SB per 3 ),5412605470853,110135A,7.2,18
Endless belt cloth AO 100x610mm G100,5412605478514,110069A,2.4,218
Endless belt cloth AO 98x610mm G120,5412605473137,111283B,2.366,0
Endless belt cloth AO 100x610mm G120 ( SB per 3 ),5412605470891,110139A,7.9,96
Endless belt cloth AO 100x610mm G120,5412605478521,110070A,2.4,406
Endless belt cloth AO 100x610mm G150,5412605473144,111284B,2.8,90
Endless belt cloth AO 100x610mm G240,5412605473175,111286B,3,0
Endless belt cloth AO 100x610mm G024,5412605473182,111287B,4.392,0
Endless belt cloth AO 100x610mm G040 ( SB per 3 ),5412605470877,110137A,9.35,71
Endless belt cloth AO 100x610mm G040,5412605478484,110066A,2.9,520
Endless belt cloth AO 100x610mm G050,5412605473199,111289B,2.85,0
Endless belt cloth AO 100x610mm G060,5412605478491,110067A,2.65,673
Endless belt cloth AO 100x610mm G080 ( SB per 3 ),5412605470884,110138A,8.05,135
Endless belt cloth AO 100x610mm G080,5412605478507,110068A,2.5,1255
Endless belt cloth AO 100x620mm G100,5412605470273,110074A,2.3,0
Endless belt cloth AO 100x620mm G120 ( SB per 3 ),5412605470921,110142A,8,42
Endless belt cloth AO 100x620mm G120,5412605478538,110075A,2.3,10
Endless belt cloth AO 100x620mm G150,5412605473229,111291B,2.65,0
Endless belt cloth AO 100x620mm G180,5412605473236,111292B,2.65,0
Endless belt cloth AO 100x620mm G040 ( SB per 3 ),5412605470907,110140A,9.45,72
Endless belt cloth AO 100x620mm G040,5412605470242,110071A,2.75,40
Endless belt cloth AO 100x620mm G050,5412605473267,111295B,2.85,0
Endless belt cloth AO 100x620mm G060,5412605470259,110072A,2.5,103
Endless belt cloth AO 100x620mm G080 ( SB per 3 ),5412605470914,110141A,8.15,107
Endless belt cloth AO 100x620mm G080,5412605470266,110073A,2.35,80
Endless belt cloth AO 100x695mm G120,5412605473342,111298B,4.018,0
Endless belt cloth AO 100x710mm G060,5412605473359,111299B,4.054,0
Endless belt cloth AO 100x710mm G080,5412605473366,111300B,3.885,0
Endless belt cloth AO 100x7150mm G060,5412605473373,111301B,50.775,0
Endless belt cloth AO 100x7150mm G080,5412605473380,111302B,48.714,0
Endless belt cloth AO 100x720mm G060,5412605473397,111303B,3.819,0
Endless belt cloth AO 100x720mm G080,5412605473403,111304B,3.616,0
Endless belt cloth AO 100x820mm G060,5412605473410,111305B,4.493,0
Endless belt cloth AO 100x850mm G100,5412605473489,111306B,3.952,0
Endless belt cloth AO 100x850mm G120,5412605473496,111307B,3.952,0
Endless belt cloth AO 100x850mm G060,5412605473502,111308B,4.257,0
Endless belt cloth AO 100x850mm G080,5412605473519,111309B,4.091,0
Endless belt cloth AO 100x860mm G100,5412605470303,110079A,3.25,0
Endless belt cloth AO 100x860mm G120,5412605470310,110080A,3.2,0
Endless belt cloth AO 100x860mm G040,5412605470280,110076A,3.9,0
Endless belt cloth AO 100x860mm G050,5412605473526,111310B,3.45,0
Endless belt cloth AO 100x860mm G060,5412605478545,110077A,3.35,0
Endless belt cloth AO 100x860mm G080,5412605470297,110078A,3.25,0
Endless belt cloth AO 100x890mm G060,5412605473533,111311B,17.634,0
Endless belt cloth AO 100x890mm G080,5412605473540,111312B,17.263,0
Endless belt cloth AO 100x900mm G100,5412605470365,110084A,3.2,0
Endless belt cloth AO 100x900mm G120,5412605470372,110085A,3.2,0
Endless belt cloth AO 100x900mm G040,5412605470327,110081A,3.9,6
Endless belt cloth AO 100x900mm G060,5412605470341,110082A,3.65,0
Endless belt cloth AO 100x900mm G080,5412605470358,110083A,3.3,15
Endless belt cloth AO 100x910mm G100,5412605473557,111313B,4.729,0
Endless belt cloth AO 100x910mm G120,5412605473564,111314B,4.493,0
Endless belt cloth AO 100x914mm G040,5412605473571,111315B,4.457,0
Endless belt cloth AO 100x914mm G080,5412605473588,111316B,4.457,0
Endless belt cloth AO 100x915mm G040,5412605473595,111317B,7.094,0
Endless belt cloth ZC 100x915mm G080,5412605473601,111318B,0,0
Endless belt cloth AO 100x915mm G100,5412605470419,110089A,3.45,-1000
Endless belt cloth AO 100x915mm G120,5412605470426,110090A,3.3,-1540
Endless belt cloth AO 100x915mm G150,5412605130863,112665B,3.05,-614
Endless belt cloth AO 100x915mm G220,5412605473618,111319B,2.95,0
Endless belt cloth AO 100x915mm G040,5412605478606,110086A,4.05,-270
Endless belt cloth AO 100x915mm G060,5412605470389,110087A,3.65,-1010
Endless belt cloth AO 100x915mm G080,5412605470396,110088A,3.5,-1340
Endless belt cloth AO 100x920mm G220,5412605473656,111323B,3.38,0
Endless belt cloth ZC 100x920mm G080,,112820B,7.195,0
Endless belt cloth AO 102x1220mm G060,5412605473700,111327B,6.79,0
Endless belt cloth AO 102x1220mm G080,5412605473717,111328B,6.489,0
Endless belt cloth AO 1024x50mm G120,5412605473724,111329B,2.972,0
Endless belt paper AO 1030x1900mm G100,5412605473731,111330B,25.574,0
Endless belt paper AO 1030x1900mm G120,5412605473748,111331B,25.574,0
Endless belt paper AO 1030x1900mm G080,5412605473755,111332B,27.194,0
Endless belt paper AO 1050x1900mm G080,5412605473762,111333B,0,0
Endless belt cloth AO 105x620mm G100,5412605170463,110094A,2.8,0
Endless belt cloth AO 105x620mm G120,5412605170470,110095A,2.8,0
Endless belt cloth AO 105x620mm G150,5412605473779,111334B,3.15,140
Endless belt cloth AO 105x620mm G180,5412605473786,111335B,3.15,0
Endless belt cloth AO 105x620mm G024,5412605473793,111336B,4.054,0
Endless belt cloth AO 105x620mm G040,5412605170432,110091A,3.35,0
Endless belt cloth AO 105x620mm G060,5412605170449,110092A,3.05,0
Endless belt cloth AO 105x620mm G080,5412605170456,110093A,2.9,0
Endless belt cloth AO 105x880mm G080,5412605473823,111337B,4.457,0
Endless belt paper AO 110x2390mm G060,5412605473830,111338B,4.729,0
Endless belt cloth AO 110x610mm G040,5412605473847,111339B,2.85,0
Endless belt cloth AO 110x610mm G080,5412605473854,111340B,2.9,5
Endless belt cloth AO 110x610mm G100,5412605473861,111341B,3.143,0
Endless belt cloth AO 110x610mm G240,5412605473878,111342B,3.143,0
Endless belt cloth AO 110x620mm G024,5412605473885,111343B,3.95,0
Endless belt cloth AO 110x620mm G100,5412605470495,110099A,2.9,100
Endless belt cloth AO 110x620mm G120 ( SB per 3 ),5412605470952,110145A,9.35,18
Endless belt cloth AO 110x620mm G120,5412605470501,110100A,2.9,110
Endless belt cloth AO 110x620mm G240,5412605473922,111346B,2.95,0
Endless belt cloth AO 110x620mm G040 ( SB per 3 ),5412605470938,110143A,10.85,28
Endless belt cloth AO 110x620mm G040,5412605478613,110096A,3.4,10
Endless belt cloth AO 110x620mm G060,5412605170487,110097A,3.15,90
Endless belt cloth AO 110x620mm G080 ( SB per 3 ),5412605470945,110144A,9.5,29
Endless belt cloth AO 110x620mm G080,5412605478620,110098A,2.95,20
Endless belt paper AO 1110x1900mm G120,5412605473946,111348B,0,0
Endless belt paper AO 1110x1900mm G080,5412605473953,111349B,30.609,0
Endless belt paper AO 1120x1900mm G120,5412605473960,111350B,31.995,0
Endless belt paper AO 1120x1900mm G120,5412605473977,111351B,29.089,0
Endless belt paper SC 1120x1900mm G240,5412605473984,111352B,0,0
Endless belt paper SC 1120x2150mm G100,5412605473991,111353B,52.497,0
Endless belt paper SC 1120x2150mm G060,5412605474004,111354B,54.659,0
Endless belt paper SC 1120x2150mm G080,5412605474011,111355B,53.039,0
Endless belt paper AO 1130x1600mm G100,5412605474028,111356B,37.668,0
Endless belt paper AO 1130x1600mm G150,5412605474035,111357B,37.364,0
Endless belt cloth AO 115x1230mm G100,5412605474042,111358B,5.91,0
Endless belt paper AO 115x4560mm G060,5412605474059,111359B,7.536,0
Endless belt cloth AO 115x660mm G040,5412605474066,111360B,4.457,0
Endless belt cloth AO 115x660mm G050,5412605474073,111361B,4.392,0
Endless belt cloth ZC 120x1500mm G024,5412605474080,111362B,13.21,0
Endless belt cloth ZC 120x1500mm G036,5412605474097,111363B,11.758,0
